,Rank,Name,Ranked2021,Ranked2020,Country,Sector,CAGR,Revenue2020,Revenue2017,Employees2020,Employees2017,FoundingYear
0,1,Swappie,No,No,Finland,Technology,477.43,97611814,507000,218,1,2016
1,2,Kilo Health,No,No,Lithuania,Health,450.05,57318766,344428,177,10,2013
2,3,OCI,No,No,UK,Financial Services,409.59,568322073,4325512,32,4,2012
3,4,OnlyFans,No,No,UK,Technology,393.63,316732986,2652185,800,4,2016
4,5,Enpal,No,No,Germany,Energy,386.88,56109613,486165,365,9,2017
5,6,MR Consulting,No,No,Germany,Waste management & recycling,343.52,13165586,150908,9,2,2017
6,7,Thriva,No,No,UK,Health,321.66,18732563,251668,57,12,2015
7,8,Exotec,No,No,France,Industrial Goods,306.86,47597000,706700,200,15,2015
8,9,Winelivery,No,No,Italy,Ecommerce,303.73,7337290,111500,10,1,2015
9,10,Instabox,No,No,Sweden,Technology,299.73,24484879,392055,117,5,2015
10,11,Waterdrop,No,No,Austria,Food & Beverage,292.74,41205930,680197,180,12,2016
11,12,One Lease,No,No,France,Support Services,289.09,9015211,153046,11,2,2016
12,13,Datlas*,No,No,Italy,Technology,287.39,9034926,155406,251,13,2017
13,14,Zego,No,No,UK,Fintech,276.63,12158046,229201,224,36,2016
14,15,HCL-Logistics,No,No,Germany,Transport,262.97,11387156,238118,24,5,2017
15,16,Popsa,No,No,UK,Technology,262.15,21455864,454975,34,4,2016
16,17,Unit8,No,No,Switzerland,Technology,255.1,7234981,149397,41,2,2017
17,18,Luoto Company,No,No,Finland,Technology,253.14,14338668,325585,49,6,2016
18,19,Journi Print,No,No,Austria,Ecommerce,249.41,6851839,160624,29,9,2014
19,20,Portify,No,No,France,Support Services,248.11,11583215,274575,228,23,2017
20,21,Tibber,No,No,Norway,Energy,247.71,30886935,782918,45,8,2015
21,22,Rascal Industry,No,No,Poland,Fashion,245.65,9008822,238451,18,6,2013
22,23,Pegaso Security,No,No,Italy,Support Services,243.23,8375180,207120,509,20,2017
23,24,Tide,No,No,UK,Fintech,239.17,16136633,416562,581,72,2016
24,25,Euro Top Brand,No,No,Italy,Retail,236.96,13888900,363010,1,1,2017
25,26,Bold Security Group,No,No,UK,Support Services,225.75,6238378,181772,26,6,2011
26,27,Play Magnus Group,No,No,Norway,Games industry,213.04,6461790,214673,140,10,2013
27,28,Blue Whale Growth Fund,No,No,UK,Financial Services,212.69,5189391,170950,7,1,2016
28,29,Kazidomi,No,No,Belgium,Ecommerce,212.45,8042499,263663,65,3,2016
29,30,Sun Finance,Yes,No,Latvia,Fintech,210.7,121306296,4044537,800,90,2012
30,31,Credimi,No,No,Italy,Financial Services,209.33,11301520,381830,56,21,2015
31,32,SIRPLUS,No,No,Germany,Retail,208.23,4540000,155043,133,8,2017
32,33,AIHR | Academy to Innovate HR,No,No,The Netherlands,Education,205.53,3584553,125682,31,6,2016
33,34,Logistics Capital Partners (LCP),No,No,Luxembourg,Property,205.25,210563743,7403458,27,9,2015
34,35,Südwest Invest,No,No,Germany,Property,202.24,5820402,210820,10,2,2017
35,36,CORADE (Plurimmo),No,No,France,Property,201.7,56018731,2039961,7,7,2000
