,Name,Sector
2,OCI,Financial Services
3,OnlyFans,Technology
4,Enpal,Energy
5,MR Consulting,Waste management & recycling
6,Thriva,Health
7,Exotec,Industrial Goods
8,Winelivery,Ecommerce
11,One Lease,Support Services
12,Datlas*,Technology
13,Zego,Fintech
14,HCL-Logistics,Transport
15,Popsa,Technology
19,Portify,Support Services
22,Pegaso Security,Support Services
23,Tide,Fintech
24,Euro Top Brand,Retail
25,Bold Security Group,Support Services
27,Blue Whale Growth Fund,Financial Services
30,Credimi,Financial Services
31,SIRPLUS,Retail
34,Südwest Invest,Property
35,CORADE (Plurimmo),Property
36,Carranco,Food & Beverage
38,Inkitt,Technology
39,H.K.Trading,Retail
40,Attest,Technology
41,LGM IMMOBILIER,Property
43,RightNow,Technology
44,EO Charging,Technology
45,CheTariffa.it,Support Services
46,Simply,Financial Services
47,Salary Finance,Fintech
50,Ponera,Ecommerce
52,ACTEAM ENR,Energy
53,Everflow,Technology
54,Azure Prism,Retail
55,WR Logistics,Transport
56,iProov,Technology
57,Spin Up,Advertising
58,BeGreat,Retail
59,Tsunami Nutrition*,Ecommerce
61,Tessian,Technology
62,Solarisbank,Financial Services
63,M2DG (MyFlexoffice),Support Services
64,Eukon,Health
65,Evolution Adv,Advertising
66,Making Science,Technology
67,Everli,Ecommerce
71,Scolution,Technology
72,JL&P,Energy
73,eFarma.com,Pharmaceuticals
74,Elvie,Technology
75,Farmarelax,Personal & Household Goods
76,Omnisend,Technology
77,World Trade Group,Fashion
78,BESTEAM Conseil,Technology
79,Motorway,Automobiles
80,ISO Public Services,Technology
81,Octopus Energy,Energy
82,CyberIAM*,Cyber Security
83,Cbweed*,Personal & Household Goods
85,OUIHELP,Support Services
87,M.G.I. Meccaniche Generali Irpine,Industrial Goods
88,Glencar Construction,Construction
89,Qmee,Technology
90,MyAppFree,Advertising
91,Investa Dienstleistungen,Support Services
93,Baroni Home,Ecommerce
94,Dayshape,Technology
95,Marketers Company,Advertising
96,Easo Magno,Beauty
97,Greyfood,Retail
98,Misfits Health,Food & Beverage
99,MeilleursBiens.com,Property
100,Fasanara Capital,Financial Services
102,Babylino Sensitive,Personal & Household Goods
105,ZEGA Invest,Property
109,Tricas Construction,Construction
110,Florence One,Technology
111,Ergotopia,Retail
113,Filo,Technology
114,Homepal,Property
115,Staffbase,Technology
116,ILON MATERIEL,Construction
118,ISODECO,Construction
119,Treedom,Support Services
120,Fenstermaxx24,Retail
121,Pohl & Söhne Gerüstbau,Construction
122,YSO CORP,Media
123,Gyada Cosmetics,Beauty
124,Privitar,Technology
125,Delineate,Technology
128,Increso,Management Consulting
129,LSG - Logistic & Service Group,Transport
131,Amity,Technology
132,Goyago,Retail
133,LA REGIE DE PORTAGE SALARIAL,Support Services
135,Appinio,Technology
136,Pinsami,Food & Beverage
137,AER TRADING,Retail
138,VALUMEN,Support Services
139,Follow,Advertising
140,Darpdecade,Retail
142,Kiteworldshop.com,Ecommerce
143,Peter Kenkel,Retail
145,Comservice,Support Services
146,Falcor Presse,Industrial Goods
148,Signaturit,Technology
149,Modulr,Fintech
150,PROFISHOP,Ecommerce
152,Audiosalus,Retail
153,StatsBomb,Technology
154,Theras Biocare,Pharmaceuticals
155,Stenn,Fintech
157,DPM - Deutsches Personal Management,Support Services
158,Monese,Fintech
159,Arquimea,Technology
160,Groupe PERSPECTIVE,Education
162,Living Quarter,Health
165,Learning Technologies Group,Technology
166,Cura Farma,Health
168,SIPADAN,Management Consulting
170,CREST Investment,Property
171,Componenti Digitali,Retail
172,IMMO-KONZEPTE,Property
176,Savait,Ecommerce
177,Adpone,Advertising
180,Titulae,Education
183,Multix solutions,Health
184,B2DIGIT,Technology
185,A Million Ads,Advertising
187,Fenêtres du Doubs,Construction
188,Koesea,Construction
189,Podium Advanced Technologies,Automobiles
191,GPAINNOVA,Industrial Goods
192,Soluzione Tasse,Management Consulting
193,Velocultour,Retail
198,Gemco,Construction
199,Lyonnaise de Construction et Renovation,Construction
200,Gousto,Food & Beverage
201,Winter in Venice,Beauty
202,Infratech Bau,Construction
203,4Streets Building Innovation Tunnels Bridges Roads,Construction
204,Landbay,Fintech
206,Franco Fresco,Food & Beverage
207,Lendable,Fintech
208,Ulrich Müller Wealth Academy,Education
209,cerascreen,Health
210,Eqinov,Energy
211,Serre Famiglia Pederiva Viticoltori dal 1958,Food & Beverage
212,Bloom & Wild,Ecommerce
213,Bräutigam,Automobiles
215,ID Finance,Fintech
217,Sixth Sense,Technology
218,Nethive,Cyber Security
219,Latitude Investment Management,Financial Services
221,oculavis,Technology
222,The Information Lab,Technology
223,MD Sonnenschutztechnik,Construction
226,Gophr,Technology
227,Memory PC,Retail
228,Sollis Solargroßhandel,Retail
230,Ooni Pizza Ovens,Personal & Household Goods
231,Robovox Distributions,Retail
232,CentralNic Group,Technology
233,Bernd Andert Transporte,Transport
234,Bluewater Bio,Technology
235,Tecma Solutions,Technology
237,intumind,Health
238,Saljol,Health
239,TKD Solutions,Telecoms
242,Valor Real Estate Partners,Financial Services
243,Anexiti,Technology
244,GENIUS,Support Services
245,Instilla,Advertising
246,FOOTDISTRICT,Ecommerce
248,ContractPodAi,Technology
249,Tarhan Bauausführungen,Construction
250,Matillion,Technology
251,Extra Mile Live Service,Retail
252,LITTLEBIG CONNECTION,Support Services
253,SPC General Service,Construction
254,jobandtalent,Technology
255,Financial House,Fintech
257,Mia-Platform,Technology
258,Tecnimed,Health
259,Longevity Partners,Retail
260,NexumStp,Management Consulting
261,G-ON,Support Services
262,Picnic,Advertising
263,Egomnia,Technology
264,LoyaltyLion,Technology
266,Kubrick,Management Consulting
267,Contrader,Technology
268,SAMONT,Industrial Goods
269,Sirive,Construction
270,Multienergia Verde,Energy
274,Chef in Camicia,Advertising
275,Piper Homes,Construction
276,Alturas Cubiertas Y Fachadas,Construction
277,Autosalon Uhingen,Automobiles
278,Yumi Beauty,Chemicals & Pharmaceuticals
279,FOR ME LAB,Ecommerce
281,Flohr,Waste management & recycling
282,Agricodem,Agricultural Commodities
283,DACH Schutzbekleidung,Industrial Goods
284,EM-Tec Energiemontagen,Construction
288,Brandon Group,Ecommerce
289,Feiniko Handelsgesellschaft,Retail
290,PharmaGrin,Health
293,Logipal24,Transport
295,Bluefin,Ecommerce
296,Milk & Honey PR,Sales & Marketing
297,Prodeval,Energy
299,BizAway,Travel & Leisure
300,Karl & Léon,Retail
301,Identity,Management Consulting
303,DYNVEO,Retail
306,AP Italian Luxury,Fashion
307,Novicap,Fintech
308,IGLM Store,Ecommerce
309,LUIS Technology,Technology
310,Quantexa,Fintech
311,Enerbrain,Energy
312,Brinckmann,Construction
313,LMG Building,Construction
315,Hemisphere,Property
316,therapiezentrum.com NW,Health
317,Beauhurst,Technology
319,MG Project,Telecoms
320,BONMEA,Retail
