Sector,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,The Netherlands,UK
Advertising,0,0,0,1,1,0,0,0,0,1,7,0,0,0,13,0,0,0,0,0,1,0,0,0,0,2,0,1,0,6
Aerospace & Defence,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Agricultural Commodities,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Automobiles,0,0,0,0,0,0,0,0,0,2,9,1,0,0,8,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2
Batteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Beauty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Chemicals & Pharmaceuticals,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Construction,0,0,0,1,0,0,0,1,1,14,31,0,1,0,24,0,0,0,0,0,0,0,1,1,0,5,2,0,0,7
Cyber Security,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
Ecommerce,1,2,0,0,0,1,0,0,0,10,1,0,1,1,19,0,1,1,0,2,4,0,0,0,0,3,5,0,2,11
Education,1,0,0,0,0,0,0,0,0,4,2,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0
Energy,0,0,1,0,0,0,1,1,0,8,4,1,1,0,12,0,0,0,0,2,1,0,0,0,0,4,3,0,0,3
Fashion,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
Financial Services,0,0,0,0,0,0,1,0,1,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Fintech,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,18
Food & Beverage,1,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,0,1,1,0,0,1,0,3,0,0,0,3
Games industry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Health,0,0,0,0,0,0,1,0,0,2,11,0,1,0,14,0,0,3,0,0,1,2,0,0,0,3,1,0,0,4
Industrial Goods,0,0,0,0,0,0,0,0,0,4,9,0,1,0,15,0,0,1,0,0,1,2,0,0,0,2,0,0,0,1
Insurance,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Interiors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2
Law,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Management Consulting,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,0,1,1,0,1,8
Media,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Personal & Household Goods,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Precious metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Property,0,0,0,0,0,1,0,0,0,10,9,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Retail,0,0,1,2,0,0,0,0,0,15,55,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3
Sales & Marketing,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,1
Sales and Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Support Services,0,0,0,0,0,0,0,0,0,22,8,0,0,0,20,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3
Technology,1,6,3,3,1,3,2,2,6,23,23,2,4,1,30,0,0,3,0,3,15,0,3,1,2,10,8,2,6,46
Telecoms,0,0,0,0,0,0,0,0,0,3,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
Transport,0,0,1,0,0,1,0,0,0,4,10,0,0,0,6,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3
Travel & Leisure,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Waste management & recycling,1,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
